Test Date,Nest,Treatment,Diver,EggScore,EggStage,RAMP,StartTime,Gone,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,FanCount,FanPerc,FanProp,GuardCount,GuardPerc,GuardProp,ChaseCount,ChasePerc,ChaseProp,ReturnCount,ReturnPerc,ReturnProp,AbsentCount,AbsentPerc,AbsentProp,PredCount,FishChase,DiverChase,Jar,Notes
14/05/2022,98,Angled Control,Declan,3,E,4,16:41,0,G,G,G,C,C,R,G,G,G,G,G,G,C,R,C,G,G,G,G,G,G,0,0,0,15,71.42857143,0.714285714,4,19.04761905,0.190476191,2,9.523809524,0.095238095,0,0,0,1,2,0,8,Declan swam?
17/05/2022,99,TMS,Laura,3,E,4,10:33,0,G,G,F,F,F,F,F,F,F,F,F,F,C,F,F,F,F,F,F,F,F,18,85.71428571,0.857142857,2,9.523809524,0.095238095,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,1,32,
18/05/2022,102,TMS Control,Laura,3,E,5,14:05,0,F,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,0,0,0,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,0,5,
19/05/2022,103,TENS,Laura,4,E,3,14:33,0,G,G,F,F,F,F,F,F,G,G,G,F,F,F,G,G,F,F,G,F,F,13,61.9047619,0.619047619,8,38.0952381,0.380952381,0,0,0,0,0,0,0,0,0,0,0,0,21,Two other tagged bass swam over and also attacked the jar
18/05/2022,104,Angled Control,Laura,3,E,5,11:15,0,G,G,F,F,F,F,F,F,G,F,F,F,G,F,F,F,F,F,F,F,F,17,80.95238095,0.80952381,4,19.04761905,0.190476191,0,0,0,0,0,0,0,0,0,0,0,0,24,
14/05/2022,105,TMS,Connor,3,E,3,14:53,0,G,F,F,F,G,G,G,G,G,G,G,F,F,G,G,F,F,F,F,F,F,11,52.38095238,0.523809524,10,47.61904762,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled 1 min before 5 min trial
19/05/2022,106,TENS Control,Laura,5,E,5,14:04,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,G,F,F,F,19,90.47619048,0.904761905,2,9.523809524,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,27,
21/05/2022,107,TMS,Sam,3,E,4,12:42,0,F,F,G,G,G,G,G,F,F,G,G,G,C,G,G,G,G,G,G,G,G,4,19.04761905,0.190476191,16,76.19047619,0.761904762,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,4,5,Lots of guarding and diver chases
20/05/2022,109,TENS Control,Declan,3,E,5,BOOK,0,F,F,F,F,G,F,F,F,F,G,G,F,F,F,F,F,F,F,F,F,F,18,85.71428571,0.857142857,3,14.28571429,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,21,
16/05/2022,110,Angled Control,Laura,4,E,5,10:22,0,F,G,G,G,F,G,G,F,G,F,F,G,G,F,F,F,G,F,G,F,G,10,47.61904762,0.476190476,11,52.38095238,0.523809524,0,0,0,0,0,0,0,0,0,0,0,0,25,Fish didn't seem interested in jar until ~20 s in
16/05/2022,111,PES,Laura,4,E,2,12:36,0,F,F,F,F,G,G,F,F,F,G,F,F,G,C,C,C,C,G,F,F,F,12,57.14285714,0.571428571,5,23.80952381,0.238095238,4,19.04761905,0.190476191,0,0,0,0,0,0,0,1,0,25,One long chase | Fish kept leaving nest during bluegill test even though there were no predators in the area
14/05/2022,112,PES,Connor,4,E,3,17:30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fish gone
