ColOrder,Date,Fish,FL,Mass,Treatment,Tank,Temperature,Time,Rheo1,XSwimTime,SwimTime,SwimStarts,Turns,DirectionChanges,Upstreams,Downstreams,EdgeCount,OuterCount,InnerCount,PosCount,NeuCount,NegCount,Surfaces,Notes
107,16/04/2024,BB15,238,72.2,BBaseline,10,14.3,08:38:46,Positive,04:13,253,8,14,21,16,-28,58,2,0,41,11,8,20,
117,16/04/2024,BB16,237,69.7,BBaseline,6,14.3,12:44:48,Positive,03:40,220,15,8,11,13,-8,60,0,0,52,6,2,17,
30,09/04/2024,BB2,265,97.2,BBaseline,4,NA,12:38:25,Negative,04:08,248,4,4,20,18,-8,60,0,0,47,10,3,10,
37,11/04/2024,BB3,244,89.4,BBaseline,10,14.4,09:06:31,Positive,05:00,300,1,0,0,61,0,60,0,0,60,0,0,25,
45,11/04/2024,BB4,243,82.5,BBaseline,7,14.4,12:47:25,Negative,04:18,258,9,4,6,33,-3,60,0,0,56,4,0,22,
50,12/04/2024,BB5,228,66.3,BBaseline,12,14.3,08:54:47,Negative,04:39,279,7,26,33,4,-39,57,3,0,25,23,12,17,
60,12/04/2024,BB6,238,72.3,BBaseline,8,14.3,13:33:13,Negative,04:17,257,6,0,8,23,-4,60,0,0,53,7,0,21,
63,13/04/2024,BB7,210,47.9,BBaseline,10,14.3,08:31:54,Positive,04:42,282,2,8,17,25,-12,59,1,0,49,8,3,24,
65,13/04/2024,BB8,233,71.5,BBaseline,12,14.3,09:03:30,Positive,04:21,261,7,7,23,37,-9,59,1,0,44,12,4,39,
74,13/04/2024,BB9,223,64.7,BBaseline,9,14.4,13:01:05,Positive,04:19,259,7,28,32,5,-31,59,1,0,30,23,7,15,
